sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
BLOCKPAY,blockpay,224,0.489873,2.0135E-4,5.63,-6.52,11697.2,1497518977
TRIG,triggers,225,0.0801174,3.293E-5,-0.42,-3.08,22393.4,1497518979
QWARK,qwark,226,0.122986,5.055E-5,0.12,-11.32,23061.7,1497518971
CCRB,cryptocarbon,227,0.705571,2.9001E-4,0.04,-4.01,71303.1,1497518984
DWC,deepwebcash,228,1.75757,7.224E-4,-0.53,-10.35,25719.5,1497518982
BRK,breakout,229,0.138654,5.699E-5,0.07,-17.8,26982.4,1497518974
RBX,ripto-bux,230,0.00675036,2.77E-6,3.91,-16.27,17330.1,1497518989
XC,xcurrency,231,0.418494,1.7201E-4,0.12,-31.05,5379.28,1497518951
MED,mediterraneancoin,232,0.047686,1.96E-5,2.6,53.3,1194810.0,1497518958
ANC,anoncoin,233,1.1188,4.5985E-4,5.03,17.55,365557.0,1497518946
2GIVE,2give,234,0.00452416,1.86E-6,11.57,-16.97,22619.9,1497518972
VTR,vtorrent,235,0.210305,8.644E-5,4.74,-25.64,17439.8,1497518958
XTC,tilecoin,236,0.0226712,9.32E-6,-3.02,-7.13,432472.0,1497518957
PDC,project-decorum,237,0.0422605,1.737E-5,0.12,-17.54,1786.79,1497518973
TX,transfercoin,238,0.351364,1.4442E-4,1.97,-19.56,18182.8,1497518964
POSW,posw-coin,239,0.0510876,2.1E-5,1.73,-18.81,59033.6,1497518983
MER,mercury,240,0.020818,8.56E-6,9.46,-14.67,5227.72,1497518987
CREA,creativecoin,241,0.195858,8.05E-5,3.25,-36.2,17060.1,1497518992
INPAY,inpay,242,0.206242,8.477E-5,-0.74,9.47,154869.0,1497518990
LDOGE,litedoge,243,1.36256E-4,6.0E-8,8.76,-8.77,33077.3,1497518960
DBIC,dubaicoin,244,0.380466,1.5638E-4,0.12,17.33,3428.37,1497518969
ADZ,adzcoin,245,0.0338241,1.39E-5,0.0,-11.33,3126.0,1497518968
SMLY,smileycoin,246,7.14183E-5,3.0E-8,-1.8,0.95,1482.74,1497518959
VOX,voxels,247,0.0581685,2.391E-5,2.61,-20.59,267042.0,1497518970
SNRG,synergy,248,0.62697,2.577E-4,-7.81,-17.27,7874.25,1497518962
START,startcoin,249,0.0389694,1.602E-5,-1.05,-7.85,81511.5,1497518952
PEPE,memetic,250,0.123051,5.058E-5,4.66,-7.91,48195.0,1497518969
WBB,wild-beast-block,251,0.729912,3.0001E-4,-13.96,-12.95,671.399,1497518960
HYP,hyperstake,252,0.00187603,7.7E-7,0.48,-20.19,20003.4,1497518954
SPRTS,sprouts,253,8.4473E-6,3.0E-9,3.95,2900.94,1611.68,1497518963
J,joincoin,254,0.684776,2.8146E-4,9.77,-26.73,986.347,1497518954
